Serial	ReadingDateTimeUTC	WH	VARH
METER000001	30-03-2020 09:30	27248844	6249456
METER000001	30-03-2020 10:00	27248966	6249476
METER000001	30-03-2020 10:30	27249089	6249501
METER000001	30-03-2020 11:00	27249211	6249524
METER000001	30-03-2020 11:30	27249334	6249550
METER000001	30-03-2020 12:00	27249456	6249575
METER000001	30-03-2020 12:30	27249580	6249601
METER000001	30-03-2020 13:00	27249701	6249627
METER000001	30-03-2020 13:30	27249822	6249650
METER000001	30-03-2020 14:00	27249943	6249674
METER000001	30-03-2020 14:30	27250060	6249702
METER000001	30-03-2020 15:00	27250177	6249726
METER000001	30-03-2020 15:30	27250292	6249750
METER000001	30-03-2020 16:00	27250375	6249762
METER000001	30-03-2020 16:30	27250451	6249772
METER000001	30-03-2020 17:00	27250526	6249780
METER000001	30-03-2020 17:30	27250601	6249789
METER000001	30-03-2020 18:00	27250676	6249798
METER000001	30-03-2020 18:30	27250750	6249807
METER000001	30-03-2020 19:00	27250826	6249816
METER000001	30-03-2020 19:30	27250901	6249826
METER000001	30-03-2020 20:00	27250976	6249836
METER000001	30-03-2020 20:30	27251050	6249845
METER000001	30-03-2020 21:00	27251125	6249855
METER000001	30-03-2020 21:30	27251199	6249862
METER000001	30-03-2020 22:00	27251273	6249867
METER000001	30-03-2020 22:30	27251347	6249875
METER000001	30-03-2020 23:00	27251422	6249886
METER000001	30-03-2020 23:30	27251496	6249894
METER000001	31-03-2020 00:00	27251570	6249905
METER000001	31-03-2020 00:30	27251643	6249914
METER000001	31-03-2020 01:00	27251718	6249925
METER000001	31-03-2020 01:30	27251792	6249936
METER000001	31-03-2020 02:00	27251865	6249948
METER000001	31-03-2020 02:30	27251936	6249959
METER000001	31-03-2020 03:00	27252008	6249966
METER000001	31-03-2020 03:30	27252079	6249973
METER000001	31-03-2020 04:00	27252152	6249984
METER000001	31-03-2020 04:30	27252224	6249992
METER000001	31-03-2020 05:00	27252296	6250001
METER000001	31-03-2020 05:30	27252373	6250014
METER000001	31-03-2020 06:00	27252463	6250035
METER000001	31-03-2020 06:30	27252582	6250060
METER000001	31-03-2020 07:00	27252706	6250085
METER000001	31-03-2020 07:30	27252830	6250109
METER000001	31-03-2020 08:00	27252954	6250134
METER000001	31-03-2020 08:30	27253075	6250159
METER000001	31-03-2020 09:00	27253197	6250182
METER000001	31-03-2020 09:30	27253317	6250199
METER000001	31-03-2020 10:00	27253438	6250218
METER000001	31-03-2020 10:30	27253561	6250244
METER000001	31-03-2020 11:00	27253682	6250268
METER000001	31-03-2020 11:30	27253803	6250294
METER000001	31-03-2020 12:00	27253924	6250320
METER000001	31-03-2020 12:30	27254046	6250345
METER000001	31-03-2020 13:00	27254165	6250370
METER000001	31-03-2020 13:30	27254284	6250396
METER000001	31-03-2020 14:00	27254403	6250421
METER000001	31-03-2020 14:30	27254521	6250443
METER000001	31-03-2020 15:00	27254638	6250466
METER000001	31-03-2020 15:30	27254752	6250488
METER000001	31-03-2020 16:00	27254836	6250501
METER000001	31-03-2020 16:30	27254911	6250509
METER000001	31-03-2020 17:00	27254987	6250516
METER000001	31-03-2020 17:30	27255060	6250524
METER000001	31-03-2020 18:00	27255134	6250533
METER000001	31-03-2020 18:30	27255207	6250543
METER000001	31-03-2020 19:00	27255280	6250552
METER000001	31-03-2020 19:30	27255354	6250560
METER000001	31-03-2020 20:00	27255428	6250568
METER000001	31-03-2020 20:30	27255502	6250577
METER000001	31-03-2020 21:00	27255575	6250584
METER000001	31-03-2020 21:30	27255649	6250590
METER000001	31-03-2020 22:00	27255723	6250595
METER000001	31-03-2020 22:30	27255797	6250602
METER000001	31-03-2020 23:00	27255871	6250612
METER000001	31-03-2020 23:30	27255944	6250621
METER000001	01-04-2020 00:00	27256017	6250630
METER000001	01-04-2020 00:30	27256090	6250638
METER000001	01-04-2020 01:00	27256164	6250647
METER000001	01-04-2020 01:30	27256237	6250657
METER000001	01-04-2020 02:00	27256308	6250667
METER000001	01-04-2020 02:30	27256380	6250677
METER000001	01-04-2020 03:00	27256451	6250682
METER000001	01-04-2020 03:30	27256521	6250688
METER000001	01-04-2020 04:00	27256593	6250698
METER000001	01-04-2020 04:30	27256663	6250706
METER000001	01-04-2020 05:00	27256734	6250715
METER000001	01-04-2020 05:30	27256810	6250725
METER000001	01-04-2020 06:00	27256899	6250743
METER000001	01-04-2020 06:30	27257021	6250769
METER000001	01-04-2020 07:00	27257141	6250793
METER000001	01-04-2020 07:30	27257264	6250816
METER000001	01-04-2020 08:00	27257388	6250839
METER000001	01-04-2020 08:30	27257509	6250862
METER000001	01-04-2020 09:00	27257625	6250885
METER000001	01-04-2020 09:30	27257740	6250903
METER000001	01-04-2020 10:00	27257858	6250922
METER000001	01-04-2020 10:30	27257978	6250944
METER000001	01-04-2020 11:00	27258095	6250968
METER000001	01-04-2020 11:30	27258211	6250994
METER000001	01-04-2020 12:00	27258327	6251020
METER000001	01-04-2020 12:30	27258444	6251047
METER000001	01-04-2020 13:00	27258559	6251073
METER000001	01-04-2020 13:30	27258674	6251100
METER000001	01-04-2020 14:00	27258786	6251125
METER000001	01-04-2020 14:30	27258897	6251151
METER000001	01-04-2020 15:00	27259006	6251174
METER000001	01-04-2020 15:30	27259117	6251193
METER000001	01-04-2020 16:00	27259204	6251206
METER000001	01-04-2020 16:30	27259281	6251216
METER000001	01-04-2020 17:00	27259355	6251225
METER000001	01-04-2020 17:30	27259430	6251235
METER000001	01-04-2020 18:00	27259505	6251246
METER000001	01-04-2020 18:30	27259580	6251256
METER000001	01-04-2020 19:00	27259654	6251266
METER000001	01-04-2020 19:30	27259729	6251276
METER000001	01-04-2020 20:00	27259803	6251286
METER000001	01-04-2020 20:30	27259876	6251293
METER000001	01-04-2020 21:00	27259951	6251303
METER000001	01-04-2020 21:30	27260025	6251308
METER000001	01-04-2020 22:00	27260098	6251313
METER000001	01-04-2020 22:30	27260172	6251321
METER000001	01-04-2020 23:00	27260246	6251332
METER000001	01-04-2020 23:30	27260320	6251341
METER000001	02-04-2020 00:00	27260392	6251351
METER000001	02-04-2020 00:30	27260465	6251361
METER000001	02-04-2020 01:00	27260538	6251371
METER000001	02-04-2020 01:30	27260611	6251380
METER000001	02-04-2020 02:00	27260683	6251390
METER000001	02-04-2020 02:30	27260755	6251401
METER000001	02-04-2020 03:00	27260826	6251406
METER000001	02-04-2020 03:30	27260897	6251413
METER000001	02-04-2020 04:00	27260969	6251423
METER000001	02-04-2020 04:30	27261040	6251433
METER000001	02-04-2020 05:00	27261111	6251442
METER000001	02-04-2020 05:30	27261185	6251454
METER000001	02-04-2020 06:00	27261273	6251473
METER000001	02-04-2020 06:30	27261391	6251496
METER000001	02-04-2020 07:00	27261513	6251518
METER000001	02-04-2020 07:30	27261635	6251544
METER000001	02-04-2020 08:00	27261756	6251569
METER000001	02-04-2020 08:30	27261875	6251593
METER000001	02-04-2020 09:00	27261993	6251617
METER000001	02-04-2020 09:30	27262113	6251636
METER000001	02-04-2020 10:00	27262231	6251655
METER000001	02-04-2020 10:30	27262350	6251679
METER000001	02-04-2020 11:00	27262467	6251700
METER000001	02-04-2020 11:30	27262583	6251719
METER000001	02-04-2020 12:00	27262698	6251741
METER000001	02-04-2020 12:30	27262815	6251765
METER000001	02-04-2020 13:00	27262931	6251789
METER000001	02-04-2020 13:30	27263046	6251813
METER000001	02-04-2020 14:00	27263163	6251837
METER000001	02-04-2020 14:30	27263276	6251863
METER000001	02-04-2020 15:00	27263387	6251884
METER000001	02-04-2020 15:30	27263497	6251905
METER000001	02-04-2020 16:00	27263579	6251917
METER000001	02-04-2020 16:30	27263654	6251925
METER000001	02-04-2020 17:00	27263730	6251933
METER000001	02-04-2020 17:30	27263805	6251943
METER000001	02-04-2020 18:00	27263880	6251952
METER000001	02-04-2020 18:30	27263953	6251962
METER000001	02-04-2020 19:00	27264027	6251973
METER000001	02-04-2020 19:30	27264101	6251984
METER000001	02-04-2020 20:00	27264175	6251993
METER000001	02-04-2020 20:30	27264248	6252003
METER000001	02-04-2020 21:00	27264321	6252012
METER000001	02-04-2020 21:30	27264395	6252018
METER000001	02-04-2020 22:00	27264469	6252024
METER000001	02-04-2020 22:30	27264543	6252033
